Date,City,State,Venue,County
2020-06-20,Tulsa,Oklahoma,BOK Center,Tulsa
2020-06-23,Phoenix,Arizona,Dream City Church,Maricopa
2020-08-17,Mankato,Minnesota,Mankato Regional Airport,Blue Earth
2020-08-17,Oshkosh,Wisconsin,Wittman Regional Airport,Winnebago
2020-08-18,Yuma,Arizona,Yuma International Airport,Yuma
2020-08-20,Old Forge,Pennsylvania,Mariotti Building Products,Lackawanna
2020-08-28,Londonderry,New Hampshire,Manchester-Boston Regional Airport,Rockingham
2020-09-03,Latrobe,Pennsylvania,Arnold Palmer Regional Airport,Westmoreland
2020-09-08,Winston-Salem,North Carolina,Smith Reynolds Airport,Forsyth
2020-09-10,Freeland,Michigan,MBS International Airport,Saginaw
2020-09-12,Minden,Nevada,Minden–Tahoe Airport,Douglas
2020-09-13,Henderson,Nevada,Xtreme Manufacturing,Clark
2020-09-17,Mosinee,Wisconsin,Central Wisconsin Airport,Marathon
2020-09-18,Bemidji,Minnesota,Bemidji Regional Airport,Beltrami
2020-09-19,Fayetteville,North Carolina,Fayetteville Regional Airport,Cumberland
2020-09-21,Vandalia,Ohio,Dayton International Airport,Montgomery
2020-09-21,Swanton,Ohio,Toledo Express Airport,Lucas
2020-09-22,Moon Township,Pennsylvania,Pittsburgh International Airport,Allegheny
2020-09-24,Jacksonville,Florida,Cecil Airport,Duval
2020-09-25,Newport News,Virginia,Newport News/Williamsburg International Airport,Warwick
2020-09-26,Middletown,Pennsylvania,Harrisburg International Airport,Dauphin
2020-09-30,Duluth,Minnesota,Duluth International Airport,St. Louis
2020-10-12,Sanford,Florida,Orlando Sanford International Airport,Seminole
2020-10-13,Johnstown,Pennsylvania,John Murtha Johnstown-Cambria County Airport,Cambria
2020-10-14,Des Moines,Iowa,Des Moines International Airport,Polk
2020-10-15,Greenville,North Carolina,Pitt-Greenville Airport,Pitt
2020-10-16,Ocala,Florida,Ocala International Airport,Marion
2020-10-16,Macon,Georgia,Middle Georgia Regional Airport,Bibb
2020-10-17,Muskegon,Michigan,Muskegon County Airport,Muskegon
2020-10-17,Janesville,Wisconsin,Southern Wisconsin Regional Airport,Rock
2020-10-18,Carson City,Nevada,Carson City Airport,Ormsby
2020-10-19,Prescott,Arizona,Prescott Regional Airport,Yavapai
2020-10-19,Tucson,Arizona,Tucson International Airport,Pima
2020-10-20,Erie,Pennsylvania,Erie International Airport,Erie
2020-10-21,Gastonia,North Carolina,Gastonia Municipal Airport,Gaston
2020-10-23,The Villages,Florida,The Villages Polo Club,Sumter
2020-10-23,Pensacola,Florida,Pensacola International Airport,Escambia
2020-10-24,Lumberton,North Carolina,Robeson County Fairgrounds,Robeson
2020-10-24,Circleville,Ohio,Pickaway Agriculture and Event Center,Pickaway
2020-10-24,Waukesha,Wisconsin,Waukesha County Airport,Waukesha
2020-10-25,Manchester,New Hampshire,Manchester-Boston Regional Airport,Hillsborough
2020-10-26,Allentown,Pennsylvania,HoverTech International,Lehigh
2020-10-26,Lititz,Pennsylvania,Lancaster Airport,Lancaster
2020-10-26,Martinsburg,Pennsylvania,Altoona–Blair County Airport,Blair
2020-10-27,Lansing,Michigan,Capital Region International Airport,Clinton
2020-10-27,West Salem,Wisconsin,La Crosse Fairgrounds Speedway,La Crosse
2020-10-27,Omaha,Nebraska,Eppley Airfield,Douglas
2020-10-28,Bullhead City,Arizona,Laughlin/Bullhead International Airport,Mohave
2020-10-28,Goodyear,Arizona,Phoenix Goodyear Airport,Maricopa
2020-10-29,Tampa,Florida,Raymond James Stadium,Hillsborough
2020-10-30,Waterford Township,Michigan,Oakland County International Airport,Oakland
2020-10-30,Green Bay,Wisconsin,Green Bay–Austin Straubel International Airport,Brown
2020-10-30,Rochester,Minnesota,Rochester International Airport,Olmsted
2020-10-31,Newtown,Pennsylvania,Keith House,Bucks
2020-10-31,Reading,Pennsylvania,Reading Regional Airport,Berks
2020-10-31,Butler,Pennsylvania,Pittsburgh-Butler Regional Airport,Butler
2020-10-31,Montoursville,Pennsylvania,Williamsport Regional Airport,Lycoming
2020-11-01,Washington,Michigan,Michigan Stars Sports Center,Macomb
2020-11-01,Dubuque,Iowa,Dubuque Regional Airport,Dubuque
2020-11-01,Hickory,North Carolina,Hickory Regional Airport,Catawba
2020-11-01,Rome,Georgia,Richard B. Russell Airport,Floyd
2020-11-01,Opa-locka,Florida,Miami-Opa Locka Executive Airport,Miami-Dade
2020-11-02,Fayetteville,North Carolina,Fayetteville Regional Airport,Cumberland
2020-11-02,Scranton,Pennsylvania,Wilkes-Barre Scranton International Airport,Lackawanna
2020-11-02,Traverse City,Michigan,Cherry Capital Airport,Grand Traverse
2020-11-02,Kenosha,Wisconsin,Kenosha Regional Airport,Kenosha
2020-11-02,Grand Rapids,Michigan,Gerald R. Ford International Airport,Kent
